Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2004-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,40.166168,668
PTJPL,2004-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
PTJPL,2004-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,88.656317,39743
PTJPL,2004-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,98.574405,9502
PTJPL,2004-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,109.557374,159794
PTJPL,2004-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,111.453342,74425
PTJPL,2004-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,107.104145,9746
PTJPL,2004-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
PTJPL,2004-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
PTJPL,2004-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,105.909228,5982
PTJPL,2004-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,109.864853,2353
PTJPL,2004-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,109.228037,1605
PTJPL,2004-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,59.367149,137884
PTJPL,2004-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,81.933861,48489
PTJPL,2004-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,90.092937,538
PTJPL,2004-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
PTJPL,2004-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,73.080305,7870
PTJPL,2004-04-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
PTJPL,2004-04-01,5-054,5-054,ASH VALLEY,ASH VALLEY,98.647695,12106
PTJPL,2004-04-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
