Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2009-10-01,1-004,1-004,SHASTA VALLEY,SHASTA VALLEY,15.910092,981219
EEMETRIC,2009-10-01,1-042,1-042,SHERWOOD VALLEY,SHERWOOD VALLEY,29.380731,5169
EEMETRIC,2009-10-01,5-012.02,5-012,SIERRA VALLEY,SIERRA VALLEY - CHILCOOT,13.497261,33948
EEMETRIC,2009-10-01,5-012.01,5-012,SIERRA VALLEY,SIERRA VALLEY - SIERRA VALLEY,22.70016,527445
EEMETRIC,2009-10-01,6-034,6-034,SILVER LAKE VALLEY,SILVER LAKE VALLEY,5.821732,158273
EEMETRIC,2009-10-01,4-009,4-009,SIMI VALLEY,SIMI VALLEY,32.601705,54663
EEMETRIC,2009-10-01,6-105,6-105,SLINKARD VALLEY,SLINKARD VALLEY,12.940352,20269
EEMETRIC,2009-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,75.883643,171145
EEMETRIC,2009-10-01,6-033,6-033,SODA LAKE VALLEY,SODA LAKE VALLEY,7.488239,1708930
EEMETRIC,2009-10-01,2-037,2-037,SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,43.252978,9570
EEMETRIC,2009-10-01,6-082,6-082,SPRING CANYON VALLEY,SPRING CANYON VALLEY,1.047443,21584
EEMETRIC,2009-10-01,5-089,5-089,SQUAW FLAT,SQUAW FLAT,6.40289,5813
EEMETRIC,2009-10-01,5-088,5-088,STONY GORGE RESERVOIR,STONY GORGE RESERVOIR,23.941103,4788
EEMETRIC,2009-10-01,5-063,5-063,STONYFORD TOWN AREA,STONYFORD TOWN AREA,18.659195,28955
EEMETRIC,2009-10-01,2-003,2-003,SUISUN-FAIRFIELD VALLEY,SUISUN-FAIRFIELD VALLEY,58.11264,599634
EEMETRIC,2009-10-01,2-011,2-011,SUNOL VALLEY,SUNOL VALLEY,43.291404,74769
EEMETRIC,2009-10-01,6-049,6-049,SUPERIOR VALLEY,SUPERIOR VALLEY,2.078214,541018
