Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2012-07-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,19.504491,668
SSEBOP,2012-07-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SSEBOP,2012-07-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,67.981355,39743
SSEBOP,2012-07-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,67.258051,9502
SSEBOP,2012-07-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,128.164549,159794
SSEBOP,2012-07-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,91.96352,74425
SSEBOP,2012-07-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,113.619947,9746
SSEBOP,2012-07-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SSEBOP,2012-07-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SSEBOP,2012-07-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.882982,5982
SSEBOP,2012-07-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,61.547386,2353
SSEBOP,2012-07-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,11.421184,1605
SSEBOP,2012-07-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,63.175923,137884
SSEBOP,2012-07-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,118.631999,48489
SSEBOP,2012-07-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,89.204461,538
SSEBOP,2012-07-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SSEBOP,2012-07-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,69.476366,7870
SSEBOP,2012-07-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SSEBOP,2012-07-01,5-054,5-054,ASH VALLEY,ASH VALLEY,97.387576,12106
SSEBOP,2012-07-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SSEBOP,2012-07-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,38.505624,1867
SSEBOP,2012-07-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,86.795161,620
SSEBOP,2012-07-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,147.420091,219
SSEBOP,2012-07-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,77.096078,510
SSEBOP,2012-07-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SSEBOP,2012-07-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SSEBOP,2012-07-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SSEBOP,2012-07-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,0
SSEBOP,2012-07-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SSEBOP,2012-07-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SSEBOP,2012-07-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,0.001159,863
SSEBOP,2012-07-01,5-015,5-015,BIG VALLEY,BIG VALLEY,79.467251,41040
SSEBOP,2012-07-01,5-004,5-004,BIG VALLEY,BIG VALLEY,90.257588,163109
SSEBOP,2012-07-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,25.133465,7575
SSEBOP,2012-07-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SSEBOP,2012-07-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,5.743363,1130
SSEBOP,2012-07-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,87.351064,94
SSEBOP,2012-07-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,80.5648,17392
SSEBOP,2012-07-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,43.454545,11
SSEBOP,2012-07-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SSEBOP,2012-07-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,116.879207,4189
SSEBOP,2012-07-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,107.236242,74902
SSEBOP,2012-07-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,29.985684,7963
SSEBOP,2012-07-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,24.707704,1324
SSEBOP,2012-07-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SSEBOP,2012-07-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
SSEBOP,2012-07-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
SSEBOP,2012-07-01,6-101,6-101,BULL FLAT,BULL FLAT,37.020833,48
SSEBOP,2012-07-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,62.028897,6852
SSEBOP,2012-07-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,54.019608,1734
SSEBOP,2012-07-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
SSEBOP,2012-07-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,87.671164,148889
SSEBOP,2012-07-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
SSEBOP,2012-07-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
SSEBOP,2012-07-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
SSEBOP,2012-07-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
SSEBOP,2012-07-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,39.37168,6250
SSEBOP,2012-07-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
SSEBOP,2012-07-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
SSEBOP,2012-07-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
SSEBOP,2012-07-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,1.608,125
SSEBOP,2012-07-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
SSEBOP,2012-07-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,60.23869,1282
SSEBOP,2012-07-01,3-018,3-018,CARPINTERIA,CARPINTERIA,89.316718,9128
SSEBOP,2012-07-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,11.599453,22689
SSEBOP,2012-07-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,95.776246,10516
SSEBOP,2012-07-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,41.550827,846
SSEBOP,2012-07-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
SSEBOP,2012-07-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
SSEBOP,2012-07-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,148.215059,4250
SSEBOP,2012-07-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
SSEBOP,2012-07-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
SSEBOP,2012-07-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,4.179104,67
SSEBOP,2012-07-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,40.988091,17718
SSEBOP,2012-07-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,11.935907,1295
SSEBOP,2012-07-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,0.500978,511
SSEBOP,2012-07-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,22.903727,4508
SSEBOP,2012-07-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,138.317485,652
SSEBOP,2012-07-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,50.976596,940
SSEBOP,2012-07-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,60.192403,1606
SSEBOP,2012-07-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,90.759307,2713
SSEBOP,2012-07-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,96.506696,291686
SSEBOP,2012-07-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,126.95092,978
SSEBOP,2012-07-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,109.997191,356
SSEBOP,2012-07-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,98.368914,6305
SSEBOP,2012-07-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,96.681115,323
SSEBOP,2012-07-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,112.03655,4186
SSEBOP,2012-07-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,78.124666,3746
SSEBOP,2012-07-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,76.020803,22545
SSEBOP,2012-07-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,61.523009,3390
SSEBOP,2012-07-01,6-072,6-072,COLES FLAT,COLES FLAT,,0
SSEBOP,2012-07-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,35.829649,3845
SSEBOP,2012-07-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,,0
SSEBOP,2012-07-01,4-010,4-010,CONEJO,CONEJO,103.797189,498
SSEBOP,2012-07-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,,0
SSEBOP,2012-07-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,69.270574,106152
SSEBOP,2012-07-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,56.510776,464
SSEBOP,2012-07-01,6-055,6-055,COSO VALLEY,COSO VALLEY,,0
SSEBOP,2012-07-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,,0
SSEBOP,2012-07-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,61.014925,67
SSEBOP,2012-07-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,80.420713,36576
SSEBOP,2012-07-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,92.555278,15639
SSEBOP,2012-07-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,23.532922,972
SSEBOP,2012-07-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,82.202632,6534
SSEBOP,2012-07-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,0.2375,80
