Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2015-12-01,6-029,6-029,MESQUITE VALLEY,MESQUITE VALLEY,6.064673,384627
ENSEMBLE,2015-12-01,6-020,6-020,MIDDLE AMARGOSA VALLEY,MIDDLE AMARGOSA VALLEY,6.104497,1741060
ENSEMBLE,2015-12-01,5-094,5-094,MIDDLE CREEK,MIDDLE CREEK,14.832388,3174
ENSEMBLE,2015-12-01,5-087,5-087,MIDDLE FORK FEATHER RIVER,MIDDLE FORK FEATHER RIVER,15.286027,2283
ENSEMBLE,2015-12-01,6-041,6-041,MIDDLE MOJAVE RIVER VALLEY,MIDDLE MOJAVE RIVER VALLEY,10.753749,949537
ENSEMBLE,2015-12-01,6-080,6-080,MIDDLE PARK CANYON,MIDDLE PARK CANYON,9.032942,7832
ENSEMBLE,2015-12-01,5-085,5-085,MIL POTRERO AREA,MIL POTRERO AREA,21.195665,10380
ENSEMBLE,2015-12-01,9-014,9-014,MISSION VALLEY,MISSION VALLEY,21.860768,31839
ENSEMBLE,2015-12-01,5-011,5-011,MOHAWK VALLEY,MOHAWK VALLEY,16.724538,18086
ENSEMBLE,2015-12-01,6-009,6-009,MONO VALLEY,MONO VALLEY,11.920742,728116
ENSEMBLE,2015-12-01,3-049,3-049,MONTECITO,MONTECITO,29.059399,27307
ENSEMBLE,2015-12-01,7-020,7-020,MORONGO VALLEY,MORONGO VALLEY,7.075732,32496
ENSEMBLE,2015-12-01,3-041,3-041,MORRO VALLEY,MORRO VALLEY,23.2872,2500
ENSEMBLE,2015-12-01,5-008,5-008,MOUNTAIN MEADOWS VALLEY,MOUNTAIN MEADOWS VALLEY,8.624087,19023
ENSEMBLE,2015-12-01,1-056,1-056,McDOWELL VALLEY,McDOWELL VALLEY,15.908127,6694
ENSEMBLE,2015-12-01,2-002.01,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA VALLEY,15.28519,203324
ENSEMBLE,2015-12-01,2-002.03,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA-SONOMA LOWLANDS,16.963679,169157
ENSEMBLE,2015-12-01,2-002.02,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - SONOMA VALLEY,14.928395,201563
ENSEMBLE,2015-12-01,1-046,1-046,NAVARRO RIVER VALLEY,NAVARRO RIVER VALLEY,21.46424,3104
ENSEMBLE,2015-12-01,3-052,3-052,NEEDLE ROCK POINT,NEEDLE ROCK POINT,26.112018,3062
ENSEMBLE,2015-12-01,7-044,7-044,NEEDLES VALLEY,NEEDLES VALLEY,4.886555,384796
ENSEMBLE,2015-12-01,5-050,5-050,NORTH FORK BATTLE CREEK,NORTH FORK BATTLE CREEK,15.799944,53255
ENSEMBLE,2015-12-01,2-030,2-030,NOVATO VALLEY,NOVATO VALLEY,16.743514,92321
ENSEMBLE,2015-12-01,7-025,7-025,OCOTILLO-CLARK VALLEY,OCOTILLO-CLARK VALLEY,4.778273,999504
ENSEMBLE,2015-12-01,7-035,7-035,OGILBY VALLEY,OGILBY VALLEY,5.445505,592059
ENSEMBLE,2015-12-01,4-002,4-002,OJAI VALLEY,OJAI VALLEY,28.080901,26588
ENSEMBLE,2015-12-01,3-039,3-039,OLD VALLEY,OLD VALLEY,17.880627,5043
ENSEMBLE,2015-12-01,6-108,6-108,OLYMPIC VALLEY,OLYMPIC VALLEY,,0
ENSEMBLE,2015-12-01,7-031,7-031,OROCOPIA VALLEY,OROCOPIA VALLEY,2.8469,432652
ENSEMBLE,2015-12-01,6-012.02,6-012,OWENS VALLEY,OWENS VALLEY - FISH SLOUGH,7.407298,14498
ENSEMBLE,2015-12-01,6-012.01,6-012,OWENS VALLEY,OWENS VALLEY - OWENS VALLEY,7.51028,2859214
ENSEMBLE,2015-12-01,6-088,6-088,OWL LAKE VALLEY,OWL LAKE VALLEY,3.676653,100004
ENSEMBLE,2015-12-01,6-028,6-028,PAHRUMP VALLEY,PAHRUMP VALLEY,7.537592,407322
ENSEMBLE,2015-12-01,6-099,6-099,PAINTERS FLAT,PAINTERS FLAT,10.826977,21211
ENSEMBLE,2015-12-01,7-039,7-039,PALO VERDE MESA,PALO VERDE MESA,9.749529,1011292
ENSEMBLE,2015-12-01,7-038,7-038,PALO VERDE VALLEY,PALO VERDE VALLEY,31.920699,302116
ENSEMBLE,2015-12-01,9-024,9-024,PAMO VALLEY,PAMO VALLEY,15.852646,6766
ENSEMBLE,2015-12-01,6-058,6-058,PANAMINT VALLEY,PANAMINT VALLEY,4.699306,1165896
ENSEMBLE,2015-12-01,5-023,5-023,PANOCHE VALLEY,PANOCHE VALLEY,15.712459,148758
ENSEMBLE,2015-12-01,3-032,3-032,PEACH TREE VALLEY,PEACH TREE VALLEY,16.427971,44038
ENSEMBLE,2015-12-01,1-030,1-030,PEPPERWOOD TOWN AREA,PEPPERWOOD TOWN AREA,16.451036,23936
ENSEMBLE,2015-12-01,2-026,2-026,PESCADERO VALLEY,PESCADERO VALLEY,22.005089,11791
ENSEMBLE,2015-12-01,2-001,2-001,PETALUMA VALLEY,PETALUMA VALLEY,16.646073,209772
ENSEMBLE,2015-12-01,6-051,6-051,PILOT KNOB VALLEY,PILOT KNOB VALLEY,5.476349,623272
ENSEMBLE,2015-12-01,6-092,6-092,PINE CREEK VALLEY,PINE CREEK VALLEY,14.676923,260
ENSEMBLE,2015-12-01,7-006,7-006,PINTO VALLEY,PINTO VALLEY,1.94909,820363
ENSEMBLE,2015-12-01,7-049,7-049,PIPES CANYON FAULT VALLEY,PIPES CANYON FAULT VALLEY,11.020848,15205
ENSEMBLE,2015-12-01,2-004,2-004,PITTSBURG PLAIN,PITTSBURG PLAIN,12.922378,51403
ENSEMBLE,2015-12-01,7-045,7-045,PIUTE VALLEY,PIUTE VALLEY,2.862491,782230
ENSEMBLE,2015-12-01,7-052,7-052,PLEASANT VALLEY,PLEASANT VALLEY,4.382015,43336
ENSEMBLE,2015-12-01,4-006,4-006,PLEASANT VALLEY,PLEASANT VALLEY,20.487915,89204
ENSEMBLE,2015-12-01,5-038,5-038,PONDOSA TOWN AREA,PONDOSA TOWN AREA,18.12365,8516
ENSEMBLE,2015-12-01,5-068,5-068,POPE VALLEY,POPE VALLEY,13.172562,32313
ENSEMBLE,2015-12-01,9-029,9-029,POTRERO VALLEY,POTRERO VALLEY,27.180117,9083
ENSEMBLE,2015-12-01,1-051,1-051,POTTER VALLEY,POTTER VALLEY,18.661953,37054
ENSEMBLE,2015-12-01,9-013,9-013,POWAY VALLEY,POWAY VALLEY,16.442058,11080
ENSEMBLE,2015-12-01,3-044,3-044,POZO VALLEY,POZO VALLEY,21.103138,30784
ENSEMBLE,2015-12-01,1-025,1-025,PRAIRIE CREEK AREA,PRAIRIE CREEK AREA,20.725292,90194
ENSEMBLE,2015-12-01,7-040,7-040,QUIEN SABE POINT VALLEY,QUIEN SABE POINT VALLEY,7.206943,99694
ENSEMBLE,2015-12-01,3-024,3-024,QUIEN SABE VALLEY,QUIEN SABE VALLEY,18.031208,20219
ENSEMBLE,2015-12-01,6-062,6-062,RACE TRACK VALLEY,RACE TRACK VALLEY,7.668185,63448
ENSEMBLE,2015-12-01,3-046,3-046,RAFAEL VALLEY,RAFAEL VALLEY,16.418824,9966
ENSEMBLE,2015-12-01,9-025,9-025,RANCHITA TOWN AREA,RANCHITA TOWN AREA,19.025442,14032
ENSEMBLE,2015-12-01,4-023,4-023,RAYMOND,RAYMOND,25.005174,117113
ENSEMBLE,2015-12-01,6-024,6-024,RED PASS VALLEY,RED PASS VALLEY,3.929264,433105
ENSEMBLE,2015-12-01,1-018,1-018,RED ROCK VALLEY,RED ROCK VALLEY,7.797063,35346
ENSEMBLE,2015-12-01,5-006.03,5-006,REDDING AREA,REDDING AREA - ANDERSON,11.862342,443599
ENSEMBLE,2015-12-01,5-006.01,5-006,REDDING AREA,REDDING AREA - BOWMAN,12.136543,550983
ENSEMBLE,2015-12-01,5-006.04,5-006,REDDING AREA,REDDING AREA - ENTERPRISE,10.19608,275587
ENSEMBLE,2015-12-01,5-006.05,5-006,REDDING AREA,REDDING AREA - MILLVILLE,12.674206,295058
ENSEMBLE,2015-12-01,5-006.06,5-006,REDDING AREA,REDDING AREA - SOUTH BATTLE CREEK,14.390973,151596
ENSEMBLE,2015-12-01,1-026,1-026,REDWOOD CREEK AREA,REDWOOD CREEK AREA,19.542181,8108
ENSEMBLE,2015-12-01,6-086,6-086,RHODES HILL AREA,RHODES HILL AREA,7.180579,70069
ENSEMBLE,2015-12-01,7-004,7-004,RICE VALLEY,RICE VALLEY,6.395531,841014
ENSEMBLE,2015-12-01,6-023,6-023,RIGGS VALLEY,RIGGS VALLEY,5.99039,393528
ENSEMBLE,2015-12-01,3-043,3-043,RINCONADA VALLEY,RINCONADA VALLEY,26.204714,11582
ENSEMBLE,2015-12-01,5-043,5-043,ROCK PRAIRIE VALLEY,ROCK PRAIRIE VALLEY,,0
