Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2006-11-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,27.137573,37173
PTJPL,2006-11-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,15.261554,178487
PTJPL,2006-11-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,40.913696,110099
PTJPL,2006-11-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,39.653404,29256
PTJPL,2006-11-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,20.252593,513114
PTJPL,2006-11-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,20.062325,305784
PTJPL,2006-11-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,27.998822,30572
PTJPL,2006-11-01,7-016,7-016,AMES VALLEY,AMES VALLEY,10.650194,487562
PTJPL,2006-11-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,5.198173,584286
PTJPL,2006-11-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,40.276012,22365
PTJPL,2006-11-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,47.718972,38900
PTJPL,2006-11-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,26.577766,9175
PTJPL,2006-11-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,20.234069,4539084
PTJPL,2006-11-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,22.760578,89741
PTJPL,2006-11-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,62.722841,3590
PTJPL,2006-11-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,38.089544,3529
PTJPL,2006-11-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,45.572878,17646
PTJPL,2006-11-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,7.53502,1152313
PTJPL,2006-11-01,5-054,5-054,ASH VALLEY,ASH VALLEY,19.063927,27015
PTJPL,2006-11-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,13.273416,124166
PTJPL,2006-11-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,46.516147,8980
PTJPL,2006-11-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,67.543191,3334
PTJPL,2006-11-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,37.921419,83710
PTJPL,2006-11-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,26.774466,40934
PTJPL,2006-11-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,29.165724,6191
PTJPL,2006-11-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,9.758127,175679
PTJPL,2006-11-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,10.209989,402226
PTJPL,2006-11-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,48.032397,57753
PTJPL,2006-11-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,37.323378,63684
PTJPL,2006-11-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,51.895674,7582
PTJPL,2006-11-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,15.69061,32897
PTJPL,2006-11-01,5-015,5-015,BIG VALLEY,BIG VALLEY,38.559511,108954
PTJPL,2006-11-01,5-004,5-004,BIG VALLEY,BIG VALLEY,23.410006,413987
PTJPL,2006-11-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,27.116141,144867
PTJPL,2006-11-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,18.211557,138327
PTJPL,2006-11-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,27.755053,9994
PTJPL,2006-11-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,41.288871,10136
PTJPL,2006-11-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,11.30754,282155
PTJPL,2006-11-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,4.426392,405078
PTJPL,2006-11-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,45.161103,6201
PTJPL,2006-11-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,26.748969,36119
PTJPL,2006-11-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,22.039749,146067
PTJPL,2006-11-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,7.569534,2234028
PTJPL,2006-11-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,26.806234,14244
