Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2015-03-01,6-036.01,6-036,LANGFORD VALLEY,LANGFORD VALLEY - LANGFORD WELL LAKE,9.883036,86847
PTJPL,2015-03-01,1-033,1-033,LARABEE VALLEY,LARABEE VALLEY,67.338093,4342
PTJPL,2015-03-01,4-008,4-008,LAS POSAS VALLEY,LAS POSAS VALLEY,66.978834,200649
PTJPL,2015-03-01,5-057,5-057,LAST CHANCE CREEK VALLEY,LAST CHANCE CREEK VALLEY,63.695889,20920
PTJPL,2015-03-01,7-014,7-014,LAVIC VALLEY,LAVIC VALLEY,10.834882,459882
PTJPL,2015-03-01,1-012,1-012,LAYTONVILLE VALLEY,LAYTONVILLE VALLEY,73.824029,22589
PTJPL,2015-03-01,6-027,6-027,LEACH VALLEY,LEACH VALLEY,15.352417,275049
PTJPL,2015-03-01,6-066,6-066,LEE FLAT,LEE FLAT,16.898129,91213
PTJPL,2015-03-01,6-106,6-106,LITTLE ANTELOPE VALLEY,LITTLE ANTELOPE VALLEY,29.295148,11191
PTJPL,2015-03-01,5-065,5-065,LITTLE INDIAN VALLEY,LITTLE INDIAN VALLEY,84.421062,5707
PTJPL,2015-03-01,1-013,1-013,LITTLE LAKE VALLEY,LITTLE LAKE VALLEY,70.473377,45074
PTJPL,2015-03-01,1-041,1-041,LITTLE VALLEY,LITTLE VALLEY,82.111354,3655
PTJPL,2015-03-01,2-010,2-010,LIVERMORE VALLEY,LIVERMORE VALLEY,85.051841,312803
PTJPL,2015-03-01,2-038,2-038,LOBOS,LOBOS,95.761236,10613
PTJPL,2015-03-01,3-006,3-006,LOCKWOOD VALLEY,LOCKWOOD VALLEY,68.464084,269548
PTJPL,2015-03-01,4-017,4-017,LOCKWOOD VALLEY,LOCKWOOD VALLEY,50.90513,97987
PTJPL,2015-03-01,6-011,6-011,LONG VALLEY,LONG VALLEY,31.312792,323029
PTJPL,2015-03-01,5-044,5-044,LONG VALLEY,LONG VALLEY,45.797419,4882
PTJPL,2015-03-01,6-104,6-104,LONG VALLEY,LONG VALLEY,47.142548,210294
PTJPL,2015-03-01,5-031,5-031,LONG VALLEY,LONG VALLEY,83.232099,12611
PTJPL,2015-03-01,5-070,5-070,LOS BANOS CREEK VALLEY,LOS BANOS CREEK VALLEY,52.60732,21748
PTJPL,2015-03-01,3-008.01,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - LOS OSOS AREA,75.411731,19010
PTJPL,2015-03-01,3-008.02,3-008,LOS OSOS VALLEY,LOS OSOS VALLEY - WARDEN CREEK,71.5254,7933
PTJPL,2015-03-01,7-051,7-051,LOST HORSE VALLEY,LOST HORSE VALLEY,15.778158,77794
PTJPL,2015-03-01,6-071,6-071,LOST LAKE VALLEY,LOST LAKE VALLEY,17.366258,104530
PTJPL,2015-03-01,6-021,6-021,LOWER KINGSTON VALLEY,LOWER KINGSTON VALLEY,12.673024,1078042
PTJPL,2015-03-01,1-014,1-014,LOWER KLAMATH RIVER VALLEY,LOWER KLAMATH RIVER VALLEY,61.646129,31308
PTJPL,2015-03-01,5-030,5-030,LOWER LAKE VALLEY,LOWER LAKE VALLEY,79.208788,10810
PTJPL,2015-03-01,1-038,1-038,LOWER LAYTONVILLE VALLEY,LOWER LAYTONVILLE VALLEY,77.654577,9678
PTJPL,2015-03-01,6-040,6-040,LOWER MOJAVE RIVER VALLEY,LOWER MOJAVE RIVER VALLEY,16.714508,1283554
PTJPL,2015-03-01,1-060,1-060,LOWER RUSSIAN RIVER VALLEY,LOWER RUSSIAN RIVER VALLEY,89.559876,29887
PTJPL,2015-03-01,7-019,7-019,LUCERNE VALLEY,LUCERNE VALLEY,17.185047,662503
PTJPL,2015-03-01,1-008.02,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - DOWS PRAIRIE SCHOOL AREA,67.763258,68074
PTJPL,2015-03-01,1-008.01,1-008,MAD RIVER VALLEY,MAD RIVER VALLEY - MAD RIVER LOWLAND,63.589904,106502
PTJPL,2015-03-01,6-002,6-002,MADELINE PLAINS,MADELINE PLAINS,41.001757,701870
PTJPL,2015-03-01,3-051,3-051,MAJORS CREEK,MAJORS CREEK,82.440497,1689
PTJPL,2015-03-01,4-022,4-022,MALIBU VALLEY,MALIBU VALLEY,77.883596,2603
PTJPL,2015-03-01,6-064,6-064,MARBLE CANYON AREA,MARBLE CANYON AREA,11.501974,46600
PTJPL,2015-03-01,2-039,2-039,MARINA,MARINA,97.360207,9836
PTJPL,2015-03-01,6-067,6-067,MARTIS VALLEY,MARTIS VALLEY,60.038931,162880
PTJPL,2015-03-01,7-059,7-059,MASON VALLEY,MASON VALLEY,36.225905,24829
PTJPL,2015-03-01,1-028,1-028,MATTOLE RIVER VALLEY,MATTOLE RIVER VALLEY,61.648053,13968
PTJPL,2015-03-01,5-035,5-035,MCCLOUD AREA,MCCLOUD AREA,88.754235,95917
PTJPL,2015-03-01,5-095,5-095,MEADOW VALLEY,MEADOW VALLEY,72.401854,25783
PTJPL,2015-03-01,7-017,7-017,MEANS VALLEY,MEANS VALLEY,8.369517,67158
PTJPL,2015-03-01,6-029,6-029,MESQUITE VALLEY,MESQUITE VALLEY,17.876704,384627
PTJPL,2015-03-01,6-020,6-020,MIDDLE AMARGOSA VALLEY,MIDDLE AMARGOSA VALLEY,14.643762,1740953
PTJPL,2015-03-01,5-094,5-094,MIDDLE CREEK,MIDDLE CREEK,66.36736,3174
PTJPL,2015-03-01,5-087,5-087,MIDDLE FORK FEATHER RIVER,MIDDLE FORK FEATHER RIVER,68.20734,19509
PTJPL,2015-03-01,6-041,6-041,MIDDLE MOJAVE RIVER VALLEY,MIDDLE MOJAVE RIVER VALLEY,22.660762,950051
PTJPL,2015-03-01,6-080,6-080,MIDDLE PARK CANYON,MIDDLE PARK CANYON,27.706588,7832
PTJPL,2015-03-01,5-085,5-085,MIL POTRERO AREA,MIL POTRERO AREA,68.590462,10380
PTJPL,2015-03-01,9-014,9-014,MISSION VALLEY,MISSION VALLEY,111.97682,31794
PTJPL,2015-03-01,5-011,5-011,MOHAWK VALLEY,MOHAWK VALLEY,73.58734,85339
PTJPL,2015-03-01,6-009,6-009,MONO VALLEY,MONO VALLEY,45.743824,772932
PTJPL,2015-03-01,3-049,3-049,MONTECITO,MONTECITO,72.969751,27307
PTJPL,2015-03-01,7-020,7-020,MORONGO VALLEY,MORONGO VALLEY,34.412235,32496
PTJPL,2015-03-01,3-041,3-041,MORRO VALLEY,MORRO VALLEY,66.6784,2500
