Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2015-06-01,6-046,6-046,FREMONT VALLEY,FREMONT VALLEY,3.183906,1507398
DISALEXI,2015-06-01,5-090,5-090,FUNKS CREEK,FUNKS CREEK,16.708346,13564
DISALEXI,2015-06-01,1-032,1-032,GARBERVILLE TOWN AREA,GARBERVILLE TOWN AREA,95.433565,9498
DISALEXI,2015-06-01,1-020,1-020,GARCIA RIVER VALLEY,GARCIA RIVER VALLEY,192.367127,1302
DISALEXI,2015-06-01,3-003.01,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - LLAGAS AREA,70.31056,212973
DISALEXI,2015-06-01,3-003.05,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,47.772475,588607
DISALEXI,2015-06-01,6-085,6-085,GOLD VALLEY,GOLD VALLEY,0.922278,14436
DISALEXI,2015-06-01,6-048,6-048,GOLDSTONE VALLEY,GOLDSTONE VALLEY,1.774985,126294
DISALEXI,2015-06-01,3-016,3-016,GOLETA,GOLETA,79.902071,41428
DISALEXI,2015-06-01,5-001.02,5-001,GOOSE LAKE,GOOSE LAKE - FANDANGO VALLEY,45.971326,44709
DISALEXI,2015-06-01,5-001.01,5-001,GOOSE LAKE,GOOSE LAKE - GOOSE VALLEY,59.8924,156887
DISALEXI,2015-06-01,5-047,5-047,GOOSE VALLEY,GOOSE VALLEY,139.119635,18941
DISALEXI,2015-06-01,6-077,6-077,GRASS VALLEY,GRASS VALLEY,2.979457,44881
DISALEXI,2015-06-01,6-094,6-094,GRASSHOPPER VALLEY,GRASSHOPPER VALLEY,35.950855,79418
DISALEXI,2015-06-01,1-048,1-048,GRAVELLY VALLEY,GRAVELLY VALLEY,79.588147,13381
DISALEXI,2015-06-01,5-052,5-052,GRAYS VALLEY,GRAYS VALLEY,18.351049,24461
DISALEXI,2015-06-01,6-084,6-084,GREENWATER VALLEY,GREENWATER VALLEY,1.844624,268934
DISALEXI,2015-06-01,5-059,5-059,GRIZZLY VALLEY,GRIZZLY VALLEY,80.736299,49814
DISALEXI,2015-06-01,2-022,2-022,HALF MOON BAY TERRACE,HALF MOON BAY TERRACE,126.173474,13760
DISALEXI,2015-06-01,1-015,1-015,HAPPY CAMP TOWN AREA,HAPPY CAMP TOWN AREA,112.077337,12465
DISALEXI,2015-06-01,6-047,6-047,HARPER VALLEY,HARPER VALLEY,3.468203,1841325
DISALEXI,2015-06-01,6-074,6-074,HARRISBURG FLATS,HARRISBURG FLATS,8.930614,112083
DISALEXI,2015-06-01,6-093,6-093,HARVEY VALLEY,HARVEY VALLEY,19.297472,20254
DISALEXI,2015-06-01,1-006,1-006,HAYFORK VALLEY,HAYFORK VALLEY,74.497201,14829
DISALEXI,2015-06-01,7-048,7-048,HELENDALE FAULT VALLEY,HELENDALE FAULT VALLEY,30.236733,11777
DISALEXI,2015-06-01,8-006,8-006,HEMET LAKE VALLEY,HEMET LAKE VALLEY,63.714727,74073
DISALEXI,2015-06-01,3-031,3-031,HERNANDEZ VALLEY,HERNANDEZ VALLEY,20.662554,12725
DISALEXI,2015-06-01,1-036,1-036,HETTENSHAW VALLEY,HETTENSHAW VALLEY,45.069083,3807
DISALEXI,2015-06-01,7-053,7-053,HEXIE MOUNTAIN AREA,HEXIE MOUNTAIN AREA,0.931193,50053
DISALEXI,2015-06-01,6-063,6-063,HIDDEN VALLEY,HIDDEN VALLEY,14.87322,80667
DISALEXI,2015-06-01,4-016,4-016,HIDDEN VALLEY,HIDDEN VALLEY,33.459591,9639
DISALEXI,2015-06-01,5-016,5-016,HIGH VALLEY,HIGH VALLEY,47.246767,10593
DISALEXI,2015-06-01,6-004,6-004,HONEY LAKE VALLEY,HONEY LAKE VALLEY,33.428768,1344068
DISALEXI,2015-06-01,1-029,1-029,HONEYDEW TOWN AREA,HONEYDEW TOWN AREA,68.610751,10659
DISALEXI,2015-06-01,1-007,1-007,HOOPA VALLEY,HOOPA VALLEY,96.757517,17527
DISALEXI,2015-06-01,6-097,6-097,HORSE LAKE VALLEY,HORSE LAKE VALLEY,57.623435,17171
DISALEXI,2015-06-01,5-040,5-040,HOT SPRINGS VALLEY,HOT SPRINGS VALLEY,84.749281,10781
DISALEXI,2015-06-01,3-045,3-045,HUASNA VALLEY,HUASNA VALLEY,22.095427,21147
DISALEXI,2015-06-01,5-060,5-060,HUMBUG VALLEY,HUMBUG VALLEY,79.82027,44834
DISALEXI,2015-06-01,4-018,4-018,HUNGRY VALLEY,HUNGRY VALLEY,10.456683,23859
DISALEXI,2015-06-01,1-035,1-035,HYAMPOM VALLEY,HYAMPOM VALLEY,69.687008,6096
DISALEXI,2015-06-01,7-030,7-030,IMPERIAL VALLEY,IMPERIAL VALLEY,67.540041,4101093
DISALEXI,2015-06-01,5-009,5-009,INDIAN VALLEY,INDIAN VALLEY,86.247347,132280
DISALEXI,2015-06-01,6-054,6-054,INDIAN WELLS VALLEY,INDIAN WELLS VALLEY,4.292273,1716243
DISALEXI,2015-06-01,7-050,7-050,IRON RIDGE AREA,IRON RIDGE AREA,2.242809,23570
DISALEXI,2015-06-01,2-033,2-033,ISLAIS VALLEY,ISLAIS VALLEY,115.184104,24057
DISALEXI,2015-06-01,6-030,6-030,IVANPAH VALLEY,IVANPAH VALLEY,3.625144,882708
DISALEXI,2015-06-01,7-047,7-047,JACUMBA VALLEY,JACUMBA VALLEY,27.195093,8519
DISALEXI,2015-06-01,5-003,5-003,JESS VALLEY,JESS VALLEY,109.354297,30147
DISALEXI,2015-06-01,7-018.01,7-018,JOHNSON VALLEY,JOHNSON VALLEY - SOGGY LAKE,1.538178,347541
DISALEXI,2015-06-01,7-018.02,7-018,JOHNSON VALLEY,JOHNSON VALLEY - UPPER JOHNSON VALLEY,4.299475,156367
DISALEXI,2015-06-01,5-086,5-086,JOSEPH CREEK,JOSEPH CREEK,81.498952,20034
DISALEXI,2015-06-01,7-062,7-062,JOSHUA TREE,JOSHUA TREE,1.066472,150378
DISALEXI,2015-06-01,6-089,6-089,KANE WASH AREA,KANE WASH AREA,1.613605,26755
DISALEXI,2015-06-01,6-069,6-069,KELSO LANDER VALLEY,KELSO LANDER VALLEY,4.256241,50191
DISALEXI,2015-06-01,6-031,6-031,KELSO VALLEY,KELSO VALLEY,2.339135,1145203
DISALEXI,2015-06-01,2-019,2-019,KENWOOD VALLEY,KENWOOD VALLEY,90.059898,23106
DISALEXI,2015-06-01,5-025,5-025,KERN RIVER VALLEY,KERN RIVER VALLEY,25.03541,334285
DISALEXI,2015-06-01,1-002.02,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - LOWER KLAMATH,88.359353,335058
DISALEXI,2015-06-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,107.391331,478475
DISALEXI,2015-06-01,1-050,1-050,KNIGHTS VALLEY,KNIGHTS VALLEY,82.547127,18376
